Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
,Commemorative Air Force,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Peachtree City, Georgia, USA",,,,,"1200 ECHO CT, PEACHTREE CT, GA 30269-1941",,,Peachtree City,,,Fayette County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.dixiewing.org,,,,,,"","","",,,,,,,,,,30269-1941,,,,,,"","",
,Concord Covered Bridge Historic District,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Smyrna, Georgia, USA",,,,,"185 COVERED BRIDGE DRIVE SW, SMYRNA, GA 30082",,,Smyrna,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://concordcoveredbridge.org/,,,,,,"","","",,,,,,,,,,30082,,,,,,"","",
,Cook County Museum And Library,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Adel, Georgia, USA",,,,,"115 E 4TH ST, ADEL, GA 31620",,,Adel,,,Cook County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,31620,,,,,,"","",
,Coweta County African American Heritage Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Newnan, Georgia, USA",,,,,"  ",,,Newnan,,,Coweta County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://thecowetacountymuseum.blogspot.com/,,,,,,"","","",,,,,,,,,,,,,,,,"","",
,Coweta Sports Hall Of Fame,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Newnan, Georgia, USA",,,,,"19 BROOKSIDE DR, NEWNAN, GA 30263-1514",,,Newnan,,,Coweta County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/pages/category/Community-Service/Coweta-Sports-Hall-of-Fame-813443985360799/,,,,,,"","","",,,,,,,,,,30263-1514,,,,,,"","",
,Crawford County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Roberta, Georgia, USA",,,,,,,,Roberta,,,Crawford County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.crawfordcountyhistoricalsociety.org/Index.html,,,,,,"","","",,,,,,,622,,,31078-0622,,,,,,"","",
,Crawford W. Long Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Jefferson, Georgia, USA",,,,,"28 COLLEGE ST, JEFFERSON, GA 30549-1036",,,Jefferson,,,Jackson County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.crawfordlong.org/index.html,,,,,,"","","",,,,,,,,,,30549-1036,,,,,,"","",
,CSU Environmental Learning Center,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Columbus, Georgia, USA",,,,,"2400 ENVIRONMENTAL DR, FORT COLLINS, CO 31903",,,Columbus,,,Muscogee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://oxbow.columbusstate.edu/,,,,,,"","","",,,,,,,,,,31903,,,,,,"","",
,Cumberland Island Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in St Marys, Georgia, USA",,,,,"129 OSBORNE ST, ST MARYS, GA 31558",,,St Marys,,,Camden County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.cimuseum.org/,,,,,,"","","",,,,,,,,,,31558,,,,,,"","",
,Cumberland Island National Seashore,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in St Marys, Georgia, USA",,,,,"129 OSBORNE STREET, ST MARYS, GA 31548",,,St Marys,,,Camden County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.nps.gov/cuis/index.htm,,,,,,"","","",,,,,,,,,,31548,,,,,,"","",
,Currahee Military Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Toccoa, Georgia, USA",,,,,"160 N ALEXANDER ST, TOCCOA, GA 30577-2372",,,Toccoa,,,Stephens County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.toccoahistory.com,,,,,,"","","",,,,,,,,,,30577-2372,,,,,,"","",
,Dade County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Trenton, Georgia, USA",,,,,"2267 SLYGO RD, TRENTON, GA 30752-4502",,,Trenton,,,Dade County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://dchsga.wordpress.com/,,,,,,"","","",,,,,,,,,,30752-4502,,,,,,"","",
,Dawn Of Time Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"1800 PEACHTREE ST NW, ATLANTA, GA 30309",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30309,,,,,,"","",
,Dawson County Georgia,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Dawsonville, Georgia, USA",,,,,"  ",,,Dawsonville,,,Dawson County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://dawsoncounty.org/departments/other-departments-and-agencies/dawson-county-historical-and-genealogical-society/,,,,,,"","","",,,,,,,,,,,,,,,,"","",
,Dawsonville History Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Dawsonville, Georgia, USA",,,,,,,,Dawsonville,,,Dawson County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,1561,,,30534-0029,,,,,,"","",
,Deans Store,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Woodstock, Georgia, USA",,,,,"8588 MAIN ST, WOODSTOCK, GA 30188-4846",,,Woodstock,,,Cherokee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://visitwoodstockga.com/locations/woodstock-visitors-center-deans-store/,,,,,,"","","",,,,,,,,,,30188-4846,,,,,,"","",
,Decatur County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Bainbridge, Georgia, USA",,,,,"803 S COLLIER ST, BAINBRIDGE, GA 39819-4808",,,Bainbridge,,,Decatur County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/DecaturCountyHistoricalAndGenealogicalSociety/,,,,,,"","","",,,,,,,,,,39819-4808,,,,,,"","",
,Decatur Preservation Alliance,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Decatur, Georgia, USA",,,,,"920 SCOTT BOULEVARD, DECATUR, GA 30031-1764",,,Decatur,,,DeKalb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.mlkserviceproject.com/about-us/,,,,,,"","","",,,,,,,,,,30031-1764,,,,,,"","",
,Dekalb Historicial Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Decatur, Georgia, USA",,,,,"101 E COURT SQ, DECATUR, GA 30030-2544",,,Decatur,,,DeKalb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.dekalbhistory.org/,,,,,,"","","",,,,,,,,,,30030-2544,,,,,,"","",
,Delta Air Transport Heritage Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"1060 DELTA BLVD BLDG B D, ATLANTA, GA 30354-1989",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.deltamuseum.org/,,,,,,"","","",,,,,,,,,,30354-1989,,,,,,"","",
,Discovering Stone Mountain Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Stone Mountain, Georgia, USA",,,,,"6867 JAMES B RIVERS DR, STONE MOUNTAIN, GA 30083",,,Stone Mountain,,,DeKalb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.stonemountainpark.com/Activities/Attractions/Discovering-Stone-Mountain-Museum-at-Memorial-Hall,,,,,,"","","",,,,,,,,,,30083,,,,,,"","",
,Dodds Boys,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"2931 PACES FERRY RD SE S, ATLANTA, GA 30339-3735",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30339-3735,,,,,,"","",
,Dodge Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Eastman, Georgia, USA",,,,,"1646 COLLEGE STREET, EASTMAN, GA 31023",,,Eastman,,,Dodge County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.eastman-georgia.com/list/member/dodge-historical-society-inc-768,,,,,,"","","",,,,,,,,,,31023,,,,,,"","",
,Douglas County Genealogical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Douglasville, Georgia, USA",,,,,"1404 HAVEN CIR, DOUGLASVILLE, GA 30135-7533",,,Douglasville,,,Douglas County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.douglascountygensoc.org/,,,,,,"","","",,,,,,,,,,30135-7533,,,,,,"","",
,Douglas County Museum of History and Art,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Douglasville, Georgia, USA",,,,,"  ",,,Douglasville,,,Douglas County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.celebratedouglascounty.com/view/programs/view_prog/&cdept=185&department=Douglas%20County%20Museum%20of%20History%20and%20Art,,,,,,"","","",,,,,,,,,,,,,,,,"","",
,Dr R Thomas Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Thomasville, Georgia, USA",,,,,"14382 US HIGHWAY 19 S, THOMASVILLE, GA 31757-4801",,,Thomasville,,,Thomas County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,31757-4801,,,,,,"","",
,Dublin Laurens Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Dublin, Georgia, USA",,,,,"1101 HILLCREST PKWY STE, DUBLIN, GA 31021-3581",,,Dublin,,,Laurens County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/Dublin-Laurens-Museum-and-Cultural-Center-1565093483779458/,,,,,,"","","",,,,,,,,,,31021-3581,,,,,,"","",
,Duluth Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Duluth, Georgia, USA",,,,,"2956 BUFORD HIGHWAY, DULUTH, GA 30096-0011",,,Duluth,,,Gwinnett County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.duluthhistorical.org,,,,,,"","","",,,,,,,,,,30096-0011,,,,,,"","",
,Dunwoody Preservation Trust,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,,,,Atlanta,,,DeKalb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.dunwoodypreservationtrust.org/,,,,,,"","","",,,,,,,888658,,,30356-0658,,,,,,"","",
,Eagle Tavern Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Watkinsville, Georgia, USA",,,,,"21 N MAIN ST, WATKINSVILLE, GA 30677",,,Watkinsville,,,Oconee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://visitoconee.com/eagletavern/,,,,,,"","","",,,,,,,,,,30677,,,,,,"","",
,Early County Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Blakely, Georgia, USA",,,,,,,,Blakely,,,Early County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.earlycountymuseum.com/,,,,,,"","","",,,,,,,,,,39823-0213,,,,,,"","",
,East Point Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in East Point, Georgia, USA",,,,,"1685 NORMAN BERRY DR, EAST POINT, GA 30364",,,East Point,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.eastpoinths.org/,,,,,,"","","",,,,,,,,,,30364,,,,,,"","",
,Eatonton Putnam County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Eatonton, Georgia, USA",,,,,"114 N MADISON AVE, EATONTON, GA 31024",,,Eatonton,,,Putnam County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.e-pgahistory.org/,,,,,,"","","",,,,,,,,,,31024,,,,,,"","",
,Eatonton Putnam Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Eatonton, Georgia, USA",,,,,"114 N MADISON AVE, EATONTON, GA 31024",,,Eatonton,,,Putnam County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,31024,,,,,,"","",
,Echols County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Statenville, Georgia, USA",,,,,"5034 HICKORY GROVE RD N, VALDOSTA, GA 31606-0710",,,Statenville,,,Lowndes County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/EcholsCountyHistoricalSociety/,,,,,,"","","",,,,,,,,,,31606-0710,,,,,,"","",
,Educational Foundation And Museum Of Beulah Rucker,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Gainesville, Georgia, USA",,,,,"2103 ATHENS HWY, GAINESVILLE, GA 30507-7498",,,Gainesville,,,Hall County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.beulahruckermuseum.org/,,,,,,"","","",,,,,,,,,,30507-7498,,,,,,"","",
,Educopia Institute,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"1230 PEACHTREE STREET, ATLANTA, GA 30309-0000",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://educopia.org,,,,,,"","","",,,,,,,,,,30309-0000,,,,,,"","",
,Eighth Air Force Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Pooler, Georgia, USA",,,,,,,,Pooler,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.8thafhs.org/,,,,,,"","","",,,,,,,956,,,31322-0956,,,,,,"","",
,Elbert County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Elberton, Georgia, USA",,,,,"1 DEADWYLER STREET, ELBERTON, GA 30635",,,Elberton,,,Elbert County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30635,,,,,,"","",
,Eleventh Circuit Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,,,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.ca11.uscourts.gov/eleventh-circuit-historical-society,,,,,,"","","",,,,,,,1556,,,30301-1556,,,,,,"","",
,Ellaville Schley County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Ellaville, Georgia, USA",,,,,,,,Ellaville,,,Schley County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.ellavilleschleycountyhistory.com/,,,,,,"","","",,,,,,,175,,,31806-0175,,,,,,"","",
,Emanuel County Historic Preservation Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Swainsboro, Georgia, USA",,,,,,,,Swainsboro,,,Emanuel County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.myemanuelcounty.com/,,,,,,"","","",,,,,,,353,,,30401-3040,,,,,,"","",
,Enitiative Group,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"540 PICKFORD PL, ATLANTA, GA 30349-7989",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.enitiative.org,,,,,,"","","",,,,,,,,,,30349-7989,,,,,,"","",
,Etowah Indian Mounds State Historic Site,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Cartersville, Georgia, USA",,,,,"813 INDIAN MOUNDS ROAD, CARTERSVILLE, GA 30120",,,Cartersville,,,Bartow County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://gastateparks.org/EtowahIndianMounds,,,,,,"","","",,,,,,,,,,30120,,,,,,"","",
,Etowah Valley Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Cartersville, Georgia, USA",,,,,"115 WEST CHEROKEE AVENUE, CARTERSVILLE, GA 30120",,,Cartersville,,,Bartow County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://evhsonline.org/,,,,,,"","","",,,,,,,,,,30120,,,,,,"","",
,Euharlee Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Euharlee, Georgia, USA",,,,,"118 COVERED BRIDGE RD SW, EUHARLEE, GA 30120-5901",,,Euharlee,,,Bartow County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.euharleehistory.org/euharlee-historical-society,,,,,,"","","",,,,,,,,,,30120-5901,,,,,,"","",
,Euharlee Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Euharlee, Georgia, USA",,,,,,,,Euharlee,,,Polk County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.euharleehistory.org/,,,,,,"","","",,,,,,,364,,,30153-0364,,,,,,"","",
,Euharlee Valley Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Rockmart, Georgia, USA",,,,,,,,Rockmart,,,Polk County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://euharleevalleyhistsoc.org/,,,,,,"","","",,,,,,,364,,,30153-0364,,,,,,"","",
,Ezekiel Harris Historic House,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Augusta, Georgia, USA",,,,,"1822 BROAD STREET, AUGUSTA, GA 30904",,,Augusta,,,Richmond County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.augustamuseum.org/harrishouse,,,,,,"","","",,,,,,,,,,30904,,,,,,"","",
,Faces Of Fredom War Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Lagrange, Georgia, USA",,,,,"1047 RIVERSIDE DR, LAGRANGE, GA 30240-9155",,,Lagrange,,,Troup County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30240-9155,,,,,,"","",
,Fannin County Heritage,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Blue Ridge, Georgia, USA",,,,,,,,Blue Ridge,,,Fannin County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://sites.rootsweb.com/~gafannin/heritage/,,,,,,"","","",,,,,,,2062,,,30513-0036,,,,,,"","",
,Farm At Oatland North,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in St Simons Island, Georgia, USA",,,,,"70 CANNONS POINT DR, ST SIMONS IS, GA 31522-5581",,,St Simons Island,,,Glynn County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.thefarmssi.org/,,,,,,"","","",,,,,,,,,,31522-5581,,,,,,"","",
,Fayette County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Fayetteville, Georgia, USA",,,,,,,,Fayetteville,,,Fayette County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://fayettehistoricalsociety.com,,,,,,"","","",,,,,,,421,,,30214-0421,,,,,,"","",
,Flannery O'connor Childhood Home,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Savannah, Georgia, USA",,,,,"207 E CHARLTON ST, SAVANNAH, GA 31401-4605",,,Savannah,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.flanneryoconnorhome.org,,,,,,"","","",,,,,,,,,,31401-4605,,,,,,"","",
,Flat Rock Archive,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Lithonia, Georgia, USA",,,,,"3979 CROSSVALE RD, LITHONIA, GA 30038-4016",,,Lithonia,,,DeKalb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.flatrockarchives.com/,,,,,,"","","",,,,,,,,,,30038-4016,,,,,,"","",
,Fletcher Henderson Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"809 MCKENZIE CT SW, ATLANTA, GA 30311-2301",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.jazzcorner.com/news/display.php?news=497,,,,,,"","","",,,,,,,,,,30311-2301,,,,,,"","",
,Flint River Farms School Preservation Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Montezuma, Georgia, USA",,,,,,,,Montezuma,,,Macon County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.flintriverfarms.org/,,,,,,"","","",,,,,,,12,,,31063-0012,,,,,,"","",
,Flint Riverquarium,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Albany, Georgia, USA",,,,,"101 PINE AVENUE, ALBANY, GA 31701-2593",,,Albany,,,Dougherty County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.flintriverquarium.com,,,,,,"","","",,,,,,,,,,31701-2593,,,,,,"","",
,Flippen Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Mcdonough, Georgia, USA",,,,,"3825 JODECO RD, MCDONOUGH, GA 30253-5423",,,Mcdonough,,,Henry County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30253-5423,,,,,,"","",
,First Tee Augusta Foundation,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Augusta, Georgia, USA",,,,,"3165 DAMASCUS RD, AUGUSTA, GA 30909-4035",,,Augusta,,,Richmond County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.thefirstteeaugusta.org/,,,,,,"","","",,,,,,,,,,30909-4035,,,,,,"","",
,Fort Attaway,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Rome, Georgia, USA",,,,,"1202 DESOTO AVE NW, ROME, GA 30165-2524",,,Rome,,,Floyd County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30165-2524,,,,,,"","",
,Fort Frederica National Monument,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in St Simons Island, Georgia, USA",,,,,"6515 FREDERICA RD, ST SIMONS ISLAND, GA 31522",,,St Simons Island,,,Glynn County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.nps.gov/fofr/index.htm,,,,,,"","","",,,,,,,,,,31522,,,,,,"","",
