Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013),Source Notes,Internal Notes,
0011,Bandy Heritage Center for Northwest Georgia,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"museum in Dalton, Georgia, USA",,museum,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"650 College Drive, Dalton, GA 30720",https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Dalton,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Whitfield County,https://www.geocod.io,2019-10-23,Georgia,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,United States of America,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"34.775032, -85.002573",https://www.geocod.io,2019-10-23,+1-706-272-4532,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,mailto:jfowler@daltonstate.edu,,,http://www.bandyheritagecenter.org/,https://web.archive.org/web/20191001191611/http://www.bandyheritagecenter.org/,2019-10-01,2008,https://web.archive.org/web/20191001191611/http://www.bandyheritagecenter.org/,2019-10-01,,,,Dalton State College,https://web.archive.org/web/20190909175131/https://www.daltonstate.edu/index.cms,2019-10-07,,,,,,,,,,,,,,,
0012,Barrington Hall,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"museum in Roswell, Georgia, USA",,museum,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"535 Barringron Drive, Roswell, GA 30075",https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Roswell,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Fulton County,https://www.geocod.io,2019-10-23,Georgia,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,United States of America,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"34.055198, -84.370475",https://www.geocod.io,2019-10-23,+1-770-640-3855,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,mailto:rwinebarger@roswellgov.com,https://web.archive.org/web/20191001192317/https://www.roswellgov.com/discover-us/southern-trilogy-historic-house-museums/barrington-hall,2019-10-01,https://www.roswellgov.com/discover-us/southern-trilogy-historic-house-museums/barrington-hall,https://web.archive.org/web/20191001192317/https://www.roswellgov.com/discover-us/southern-trilogy-historic-house-museums/barrington-hall,2019-10-01,1842,https://web.archive.org/web/20191002143809/https://www.roswellgov.com/discover-us/southern-trilogy-historic-house-museums/barrington-hall/history,2019-10-02,,,,City of Roswell,https://web.archive.org/web/20191007173636/https://www.roswellgov.com/home,2019-10-07,,,,,,,,,,,,,,,
0013,Bartow History Museum,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"museum in Cartersville, Georgia, USA",,museum,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"4 East Church Street, Cartersville, GA 30120",https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Cartersville,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Bartow County,https://www.geocod.io,2019-10-23,Georgia,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,United States of America,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"34.167087, -84.796152",https://www.geocod.io,2019-10-23,+1-770-387-2774,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,mailto:treyg@bartowhistorymuseum.org,,,http://www.bartowhistorymuseum.org,https://web.archive.org/web/20191009150155/https://bartowhistorymuseum.org/,2019-10-02,,,,,,,,,,,,,,,,,,,,,,,,
0014,Blue and Gray Museum,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"museum in Fitzgerald, Georgia, USA",,museum,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"116 North Johnson Street, Fitzgerald, GA 31750",https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Fitzgerald,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Ben Hill County,https://www.geocod.io,2019-10-23,Georgia,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,United States of America,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"31.715731, -83.257877",https://www.geocod.io,2019-10-23,+1-229-426-5069,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,mailto:bgmuseum@mchsi.com,,,http://www.fitzgeraldga.org,https://web.archive.org/web/20191009150148/https://www.fitzgeraldga.org/,2019-10-02,,,,,,,,,,,,,,,,,,,,,,,,
0015,Blue Ridge Mountain Arts Association,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"not-for-profit arts organization in Blue Ridge, Georgia, USA",,not-for-profit arts organization,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"420 West Main Street, Blue Ridge, GA 30513",https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Blue Ridge,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Fannin County,https://www.geocod.io,2019-10-23,Georgia,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,United States of America,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"34.862787, -84.32818",https://www.geocod.io,2019-10-23,+1-706-632-2144,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,mailto:blueridgearts@gmail.com,,,http://www.blueridgearts.net,https://web.archive.org/web/20191009150203/https://www.blueridgearts.net/,2019-10-02,,,,,,,,,,,,,,,,,,,,,,,,
0016,Booth Western Art Museum,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"museum in Cartersville, Georgia, USA",,museum,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"501 Museum Drive, Cartersville, GA 30120",https://web.archive.org/web/20191002153040/https://boothmuseum.org/about/,2019-10-02,Cartersville,https://web.archive.org/web/20191002153040/https://boothmuseum.org/about/,2019-10-02,Bartow County,https://www.geocod.io,2019-10-23,Georgia,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,United States of America,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"34.169421, -84.797288",https://www.geocod.io,2019-10-23,+1-770-387-1300,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,mailto:lizg@boothmuseum.org,https://web.archive.org/web/20191002153733/https://boothmuseum.org/contact/,2019-10-02,http://www.boothmuseum.org,https://web.archive.org/web/20191009150117/https://boothmuseum.org/,2019-10-02,2003,https://web.archive.org/web/20191002153040/https://boothmuseum.org/about/,2019-10-02,,,,,,,,,,3070,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,30120,https://web.archive.org/web/20191009150117/https://boothmuseum.org/,2019-10-02,,,,,,
0017,Bowdon Area Historical Society,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"historical society in Bowdon, Georgia, USA",,historical society,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"105 College View Street, Bowdon, GA 30108",https://web.archive.org/web/20191002183211/https://www.facebook.com/Bowdon-Area-Historical-Society-377252499021866/,2019-10-02,Bowdon,https://web.archive.org/web/20191002183211/https://www.facebook.com/Bowdon-Area-Historical-Society-377252499021866/,2019-10-02,Carroll County,https://www.geocod.io,2019-10-23,Georgia,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,United States of America,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"33.539155, -85.260585",https://www.geocod.io,2019-10-23,+1-770-258-2176,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,mailto:janicew527@aol.com,,,,,,1985,https://web.archive.org/web/20191002155344/http://www.carrollcountyhistory.org/bowdon.html,2019-10-02,,,,,,,,,,,,,,,,,,,,,
0018,Breman Jewish Heritage Museum,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"museum in Atlanta, Georgia, USA",,museum,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"1440 Spring Street NW, Atlanta, GA 30309",https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Atlanta,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Fulton County,https://www.geocod.io,2019-10-23,Georgia,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,United States of America,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"33.793886, -84.38981",https://www.geocod.io,2019-10-23,+1-678-222-3700,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,mailto:info@thebreman.org,https://web.archive.org/web/20191002162003/https://www.thebreman.org/Visit/Contact-Us,2019-10-02,http://www.thebreman.org,https://web.archive.org/web/20191009145904/https://www.thebreman.org/,2019-10-02,1996,https://web.archive.org/web/20191002161655/https://www.thebreman.org/About/History-Mission,2019-10-02,,,,,,,,,,,,,,,,,,,,,
0019,Brenau University Galleries,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"museum in Gainesville, Georgia, USA",,museum,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"500 Washington Street SE, Gainesville, GA 30501",https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Gainesville,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Hall County,https://www.geocod.io,2019-10-23,Georgia,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,United States of America,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"34.301881, -83.822369",https://www.geocod.io,2019-10-23,+1-770-534-6263,https://web.archive.org/web/20191002162846/https://galleries.brenau.edu/visit/,2019-10-02,mailto:galleries@brenau.edu,https://web.archive.org/web/20191002162846/https://galleries.brenau.edu/visit/,2019-10-02,https://galleries.brenau.edu/,https://web.archive.org/web/20191002162503/https://galleries.brenau.edu/,2019-10-02,1985,https://web.archive.org/web/20191002163434/https://galleries.brenau.edu/about/,2019-10-02,,,,Brenau University,https://web.archive.org/web/20190909204007/https://www.brenau.edu/,2019-10-07,,,,,,,,,,,,,,,
0020,Bulloch County Historical Society,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"historical society in Statesboro, Georgia, USA",,historical society,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"315 Savannah Avenue, Statesboro, GA 30458",https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Statesboro,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Bulloch County,https://www.geocod.io,2019-10-23,Georgia,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,United States of America,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"32.445454, -81.774932",https://www.geocod.io,2019-10-23,+1-912-682-9003,https://web.archive.org/web/20191002183745/https://www.facebook.com/bullochhistory/about/?ref=page_internal,2019-10-02,mailto:hello@bullochhistory.com,https://web.archive.org/web/20191002183745/https://www.facebook.com/bullochhistory/about/?ref=page_internal,2019-10-02,https://www.bullochhistory.com/,https://web.archive.org/web/20191002172050/https://www.bullochhistory.com/,2019-10-02,1974,https://web.archive.org/web/20191002183745/https://www.facebook.com/bullochhistory/about/?ref=page_internal,2019-10-02,,,,,,,,,,,,,,,,,,,,,
0021,Bulloch Hall,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"museum in Roswell, Georgia, USA",,museum,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"180 Bulloch Avenue, Roswell, GA 30075",https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Roswell,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,Fulton County,https://www.geocod.io,2019-10-23,Georgia,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,United States of America,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,"34.015506, -84.367001",https://www.geocod.io,2019-10-23,+1-770-992-1731,https://web.archive.org/web/20191023143414/http://www.gamg.org/museumlinks.html,2019-10-23,mailto:pbillingsley@roswellgov.com,https://web.archive.org/web/20191002174902/http://www.bullochhall.org/contact-us.html,2019-10-02,http://www.bullochhall.org,https://web.archive.org/web/20191009145851/http://www.bullochhall.org/index.html,2019-10-02,1836,https://web.archive.org/web/20191002173929/http://www.bullochhall.org/background.html,2019-10-02,,,,,,,,,,,,,,,,,,,,,
