"1704 South Slappey Boulevard, Albany, GA 31701",Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,
"501 Varsity Road, Griffin, Georgia 30223",33.254569,-84.289064,1,range_interpolation,501,Varsity Rd,Griffin,GA,Spalding County,30223,US,TIGER/Line® dataset from the US Census Bureau,
"Building B, 1533 Highway 19 South, Thomaston, GA 30286",32.884509,-84.336486,1,place,,,Thomaston,GA,Upson County,30286,US,TIGER/Line® dataset from the US Census Bureau,
"15689 US 19 North, Thomasville, GA 31792",30.86234,-83.949649,1,range_interpolation,15689,Us Hwy 19,Thomasville,GA,Thomas County,31792,US,TIGER/Line® dataset from the US Census Bureau,
"361 Industrial Drive, Moultrie, GA 31788",31.1813,-83.750466,1,rooftop,361,Industrial Dr,Moultrie,GA,Colquitt County,31788,US,Colquitt,
"800 Veterans Parkway North, Moultrie, GA, 31788",31.203585,-83.774025,1,range_interpolation,800,N Veterans Pkwy,Moultrie,GA,Colquitt County,31788,US,TIGER/Line® dataset from the US Census Bureau,
"52 Tech Drive, Tifton, GA 31794",31.418096,-83.508791,1,rooftop,52,Tech Dr,Tifton,GA,Tift County,31794,US,Tift,
"1550 Highway 84 West, Cairo, GA 39828",30.877294,-84.181872,0.6,street_center,,State Rte 38,Cairo,GA,Grady County,39828,US,TIGER/Line® dataset from the US Census Bureau,
"997 South Highway 16, Carrollton, Georgia 30116",33.566843,-85.047502,1,rooftop,997,Hwy 16 S,Carrollton,GA,Carroll County,30116,US,Carroll,
"200 Campus Drive, Newnan, GA 30263",33.346645,-84.759763,1,rooftop,200,Campus Dr,Newnan,GA,Coweta County,30263,US,Coweta,
"4600 Timber Ridge Drive, Douglasville, Georgia 30135",33.732352,-84.728746,1,rooftop,4600,Timber Ridge Dr,Douglasville,GA,Douglas County,30135,US,Douglas,
"1 College Circle, LaGrange, GA 30240",33.374136,-84.802787,0.8,rooftop,1,College St,Newnan,GA,Coweta County,30263,US,Coweta,
"176 Murphy Campus Boulevard, Waco, GA 30182",33.680148,-85.251297,0.33,place,,,Waco,GA,Haralson County,30182,US,TIGER/Line® dataset from the US Census Bureau,
"667 Perry House Road, Fitzgerald, Georgia 31750",31.655876,-83.263952,0.74,nearest_rooftop_match,709,Perry House Rd,Fitzgerald,GA,Ben Hill County,31750,US,Ben Hill,
"706 West Baker Highway, Douglas, Georgia 31533",31.500788,-82.860812,1,range_interpolation,706,W Baker Hwy,Douglas,GA,Coffee County,31533,US,TIGER/Line® dataset from the US Census Bureau,
"1676 North Elm Street, Sparks, Georgia 31647",31.155842,-83.435798,0.8,rooftop,1676,N Elm St,Adel,GA,Cook County,31620,US,Cook,
"4089 Val Tech Road, Valdosta, Georgia 31602",30.894151,-83.361224,1,range_interpolation,4089,Val Tech Rd,Valdosta,GA,Lowndes County,31602,US,TIGER/Line® dataset from the US Census Bureau,
