,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
1617,Georgia Music Educators Association,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"not-for-profit arts organization in Georgia, USA",,not-for-profit arts organization,https://web.archive.org/web/20200629160343/https://www.gmea.org/,2020-06-29,,,,,,,,,,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,,,,+1-800-336-3768,https://web.archive.org/web/20200629160343/https://www.gmea.org/,2020-06-29,,,,https://www.gmea.org/,https://web.archive.org/web/20200629160343/https://www.gmea.org/,2020-06-29,1922,https://web.archive.org/web/20200629161036/https://www.facebook.com/GMEAorg/,2020-06-29,"","","",,,,,,,,,,,,,GMEAorg,https://web.archive.org/web/20200629161036/https://www.facebook.com/GMEAorg/,2020-06-29,"","",2020-08-14 CL
1618,Atlanta Symphony Orchestra for Educators,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"not-for-profit arts organization in Atlanta, Georgia, USA",,not-for-profit arts organization,https://web.archive.org/web/20200629163155/https://www.atlantasymphony.org/Education-And-Community/Educators,2020-06-29,"1280 Peachtree Street NE, Atlanta, GA 30309",https://web.archive.org/web/20200629163155/https://www.atlantasymphony.org/Education-And-Community/Educators,2020-06-29,Atlanta,https://web.archive.org/web/20200629163155/https://www.atlantasymphony.org/Education-And-Community/Educators,2020-06-29,Fulton County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-29,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"33.789395, -84.384656","https://www.google.com/maps/place/The+Woodruff+Arts+Center/@33.7894005,-84.3849231,20z",2020-06-29,+1-404-733-4900,https://web.archive.org/web/20200629163155/https://www.atlantasymphony.org/Education-And-Community/Educators,2020-06-29,,,,https://www.atlantasymphony.org/Education-And-Community/Educators,https://web.archive.org/web/20200629163155/https://www.atlantasymphony.org/Education-And-Community/Educators,2020-06-29,,,,"","","",Atlanta Symphony Orchestra,https://web.archive.org/web/20200629182406/https://www.atlantasymphony.org/,2020-06-29,,,,,,,,,,,,,"","",2020-08-14 CL
1619,Georgia Writers Association,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"not-for-profit arts organization in Georgia, USA",,not-for-profit arts organization,https://web.archive.org/web/20200629165156/https://www.georgiawriters.org/,2020-06-29,"440 Bartow Ave, #2701, Kennesaw, GA 30144",https://web.archive.org/web/20200629170549/https://www.facebook.com/GeorgiaWritersAssociation/,2020-06-29,Kennesaw,https://web.archive.org/web/20200629170549/https://www.facebook.com/GeorgiaWritersAssociation/,2020-06-29,Cobb County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-29,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"34.039258, -84.584217","https://www.google.com/maps/place/440+Bartow+Ave+%232701,+Kennesaw,+GA+30144/@34.0392558,-84.5844892,20z",2020-06-29,+1-470-578-4736,https://web.archive.org/web/20200629170549/https://www.facebook.com/GeorgiaWritersAssociation/,2020-06-29,,,,https://www.georgiawriters.org/,https://web.archive.org/web/20200629165156/https://www.georgiawriters.org/,2020-06-29,,,,"","","",,,,,,,,,,,,,GeorgiaWritersAssociation,https://web.archive.org/web/20200629170549/https://www.facebook.com/GeorgiaWritersAssociation/,2020-06-29,"","",2020-08-14 CL
1620,Georgia Poetry Society,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"not-for-profit arts organization in Dahlonega, Georgia, USA",,not-for-profit arts organization,https://web.archive.org/web/20200629171512/https://georgiapoetrysociety.org/,2020-06-29,"263 Lucy Lane, Dahlonega, GA 30533",https://web.archive.org/web/20200629172609/https://georgiapoetrysociety.org/contact-us/,2020-06-29,Dahlonega,https://web.archive.org/web/20200629172609/https://georgiapoetrysociety.org/contact-us/,2020-06-29,Lumpkin County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-29,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"34.629530, -83.990774","https://www.google.com/maps/place/263+Lucy+Ln,+Dahlonega,+GA+30533/@34.6295283,-83.9929622,17z",2020-06-29,,,,mailto:President@georgiapoetrysociety.org,https://web.archive.org/web/20200629172609/https://georgiapoetrysociety.org/contact-us/,2020-06-29,https://georgiapoetrysociety.org/,https://web.archive.org/web/20200629171512/https://georgiapoetrysociety.org/,2020-06-29,,,,"","","",,,,,,,,,,,,,,,,"","",2020-08-20 CL
1621,New Georgia Encyclopedia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"website in Atlanta, Georgia, USA",,website,https://web.archive.org/web/20200629173138/https://www.georgiaencyclopedia.org/,2020-06-29,"50 Hurt Plaza SE, Suite 595, Atlanta, GA 30303",https://web.archive.org/web/20200629173446/https://www.georgiaencyclopedia.org/contact-us,2020-06-29,Atlanta,https://web.archive.org/web/20200629173446/https://www.georgiaencyclopedia.org/contact-us,2020-06-29,Fulton County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-29,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"33.754338, -84.386812","https://www.google.com/maps/place/Hurt+Bldg,+50+Hurt+Plaza+SE+%23595,+Atlanta,+GA+30303/@33.7543349,-84.3869484,21z",2020-06-29,,,,,,,https://www.georgiaencyclopedia.org/,https://web.archive.org/web/20200629173138/https://www.georgiaencyclopedia.org/,2020-06-29,,,,"","","",,,,,,,,,,,,,,,,"","",2020-08-20 CL
1622,Georgia Writers Hall of Fame,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"hall of fame in Athens, Georgia, USA",,hall of fame,https://web.archive.org/web/20200629173648/https://georgiawritershalloffame.org/,2020-06-29,"300 South Hull Street, Athens, GA 30602",https://web.archive.org/web/20200629173955/https://georgiawritershalloffame.org/contact-us,2020-06-29,Athens,https://web.archive.org/web/20200629173955/https://georgiawritershalloffame.org/contact-us,2020-06-29,Clarke County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-29,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"33.954045, -83.378210","https://www.google.com/maps/place/Richard+B.+Russell+Building,+300+S+Hull+St,+Athens,+GA+30605/@33.9540443,-83.3783457,21z",2020-06-29,+1-706-542-7123,https://web.archive.org/web/20200629173955/https://georgiawritershalloffame.org/contact-us,2020-06-29,,,,https://georgiawritershalloffame.org/,https://web.archive.org/web/20200629173648/https://georgiawritershalloffame.org/,2020-06-29,,,,"","","",University of Georgia,https://web.archive.org/web/20200629181100/https://www.uga.edu/,2020-06-29,,,,,,,,,,,,,"","",2020-08-20 CL
1623,Georgia Children's Books Awards,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"literary award in Athens, Georgia, USA",,literary award,https://web.archive.org/web/20200629175156/https://coe.uga.edu/events/georgia-childrens-book-awards,2020-06-29,"315 Aderhold Hall, Athens, GA 30602",https://web.archive.org/web/20200629175156/https://coe.uga.edu/events/georgia-childrens-book-awards,2020-06-29,Athens,https://web.archive.org/web/20200629175156/https://coe.uga.edu/events/georgia-childrens-book-awards,2020-06-29,Clarke County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-29,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"33.941771, -83.373105","https://www.google.com/maps/place/Aderhold+Hall/@33.9417695,-83.3732411,21z",2020-06-29,+1-706-542-6446,https://web.archive.org/web/20200629175156/https://coe.uga.edu/events/georgia-childrens-book-awards,2020-06-29,mailto:gcba@uga.edu,https://web.archive.org/web/20200629175156/https://coe.uga.edu/events/georgia-childrens-book-awards,2020-06-29,https://coe.uga.edu/events/georgia-childrens-book-awards,https://web.archive.org/web/20200629175156/https://coe.uga.edu/events/georgia-childrens-book-awards,2020-06-29,,,,"","","",University of Georgia,https://web.archive.org/web/20200629181100/https://www.uga.edu/,2020-06-29,,,,,,,,,,,,,"","",2020-08-20 CL
1624,Georgia Library Association,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"nonprofit organization in Savannah, Georgia, USA",,nonprofit organization,https://web.archive.org/web/20200629181330/https://gla.georgialibraries.org/,2020-06-29,,,,Savannah,https://web.archive.org/web/20200629181330/https://gla.georgialibraries.org/,2020-06-29,Chatham County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-29,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,,,,+1-912-376-9155,https://web.archive.org/web/20200629181330/https://gla.georgialibraries.org/,2020-06-29,mailto:membership.gla@gmail.com,https://web.archive.org/web/20200629181330/https://gla.georgialibraries.org/,2020-06-29,https://gla.georgialibraries.org/,https://web.archive.org/web/20200629181330/https://gla.georgialibraries.org/,2020-06-29,,,,"","","",,,,,,,30324,https://web.archive.org/web/20200629181330/https://gla.georgialibraries.org/,2020-06-29,31410,https://web.archive.org/web/20200629181330/https://gla.georgialibraries.org/,2020-06-29,,,,"","",2020-08-20 CL
1625,Georgia Center for the Book,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"nonprofit organization in Decatur, Georgia, USA",,nonprofit organization,https://web.archive.org/web/20200629182613/http://www.georgiacenterforthebook.org/,2020-06-29,"215 Sycamore Street, Decatur, GA 30030",https://web.archive.org/web/20200629182613/http://www.georgiacenterforthebook.org/,2020-06-29,Decatur,https://web.archive.org/web/20200629182613/http://www.georgiacenterforthebook.org/,2020-06-29,DeKalb County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-29,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"33.774160, -84.294040","https://www.google.com/maps/place/Georgia+Center+For+The+Book/@33.77416,-84.2941768,21z",2020-06-29,+1-404-370-3070,https://web.archive.org/web/20200629182613/http://www.georgiacenterforthebook.org/,2020-06-29,,,,http://www.georgiacenterforthebook.org/index.php,https://web.archive.org/web/20200629182613/http://www.georgiacenterforthebook.org/,2020-06-29,,,,"","","",,,,,,,,,,,,,,,,"","",2020-08-20 CL
1626,Georgia Literary Festival,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"literary festival in Decatur, Georgia, USA",,literary festival,https://web.archive.org/web/20200629184606/http://www.georgiacenterforthebook.org/Georgia-Literary-Festival/,2020-06-29,,,,Decatur,https://web.archive.org/web/20200629183932/https://www.facebook.com/GeorgiaLiteraryFestival/,2020-06-29,DeKalb County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-29,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,,,,+1-404-370-3070 Ext 2285,https://web.archive.org/web/20200629183932/https://www.facebook.com/GeorgiaLiteraryFestival/,2020-06-29,mailto:Karin.Gillespie@gmail.com,https://web.archive.org/web/20200629184606/http://www.georgiacenterforthebook.org/Georgia-Literary-Festival/,2020-06-29,http://www.georgiacenterforthebook.org/Georgia-Literary-Festival/,https://web.archive.org/web/20200629184606/http://www.georgiacenterforthebook.org/Georgia-Literary-Festival/,2020-06-29,,,,"","","",,,,,,,,,,,,,GeorgiaLiteraryFestival,https://web.archive.org/web/20200629183932/https://www.facebook.com/GeorgiaLiteraryFestival/,2020-06-29,"","",2020-08-20 CL
1627,Georgia Music Foundation,https://web.archive.org/web/20200629185238/https://www.georgiamusicfoundation.org/,2020-06-29,"not-for-profit arts organization in Macon, Georgia, USA",,not-for-profit arts organization,https://web.archive.org/web/20200629185238/https://www.georgiamusicfoundation.org/,2020-06-29,"560 Arlington Place, Macon, Georgia 31201",https://web.archive.org/web/20200629191912/https://www.georgiamusicfoundation.org/contact-us/,2020-06-29,Macon,https://web.archive.org/web/20200629191912/https://www.georgiamusicfoundation.org/contact-us/,2020-06-29,Bibb County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-29,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,2020-05-22,"32.838797, -83.640808","https://www.google.com/maps/place/560+Arlington+Pl,+Macon,+GA+31201/@32.8387931,-83.6409443,21z",2020-06-29,,,,mailto:info@gamusicfoundation.org,https://web.archive.org/web/20200629191912/https://www.georgiamusicfoundation.org/contact-us/,2020-06-29,https://www.georgiamusicfoundation.org/,https://web.archive.org/web/20200629185238/https://www.georgiamusicfoundation.org/,2020-06-29,,,,"","","",,,,,,,,,,,,,,,,"","",2020-08-20 CL
