Record Number,ORGANIZATION,CATEGORY,YEAR FOUNDED,COUNTY,LOCATION,MAILING ADDRESS_1,MAILING ADDRESS_2,MAILING ADDRESS_3,EMAIL,TELEPHONE,PHONE / EMAIL,PUBLIC HOURS,PROGRAMS,COLLECTIONS,WEB SITE,SOCIAL MEDIA SITE,LAST MODIFIED
113,American Cherokee Confederacy,Society/Association,1976,Dougherty,,619 Pine Cone Road,"Albany, GA   31705",,,,229-787-5722  /  info@acconfederacy.org,"Daily,  9-5. (?)","Promotes membership of Cherokee and other native American tribes; promotes participation in Pow Wows; publishes newsletter, promotes State recognition of Native American Tribes, and provides a social and governmental function for the Tribe of the American Cherokee Confederacy.  National Tribal Office with Confederacy meetings: March 18, 2008 and September 23, 2008 -- Chehaw State Park, Albany, GA.","The Confederacy maintains libraries of information regarding genealogy, the old ways, and the spoken and written language of the Cherokee.",http://www.acconfederacy.org,,2019-Mar-05
114,Andersonville National Historic Site,"Historic Site (Parks, etc.), Museum",1970,Sumter,,496 Cemetery Road,"Andersonville, GA   31711",,,229-924-0343,,"Daily, 8 am - 5 pm; Museum:  Daily, 9:30 am - 4:30 pm","Preservation and interpretation of Civil War prison site, exhibits, seminars, slide shows, guided tours, and publications. The site serves as the National Memorial for all American prisoners of war in the nation's history.","Civil War era and 20th century letters, papers, diaries, photographs, and newspapers; Civil War era weapons and tools, prisoner of war's handicrafts and radio, archaeological objects, glass, pottery, and ceramics; exhibits and audio/visual programs on prisoners of war from World War I to the Persian Gulf War.  Photographs, letters, and other historical documents.  Information relating to the overall story on American Prisoners of War.",http://www.nps.gov/ande,https://www.facebook.com/AndersonvilleNPS,2019-Mar-05
115,Andersonville Old Time Farm Area and Museum,Museum,1973,Sumter,109 East Church Street,P. O. Box 6,"Andersonville, GA   31711",,,,229-924-2558  /  info@andersonvillegeorgia.info,"Daily, 9 am - 5 pm","Historic preservation of Andersonville; creation and maintenance of a seven-acre pioneer farm of the 1800's, and a welcome center museum.","Historic artifacts and documents, antique farm implements, and books on the history of Andersonville.",http://www.andersonvillegeorgia.info,,2019-Mar-05
116,Andrew College Archives,Academic Library (Archives or Special Collections),1854,Randolph,,413 College Street,"Cuthbert, GA   39840",,,,229-732-5944  /  Pittslibrary@andrewcollege.edu,By appointment.,"Acquisition and preservation of historical and genealogical records relating to Andrew College, the city of Cuthbert and the surrounding region.",Andrew College materials; Cuthbert and Randolph County materials.,https://www.andrewcollege.edu/library.html,https://www.facebook.com/pittslibrary/,2019-Oct-03
117,Andrew Low House,"Historic Site (Parks, etc.), Museum, Society/Association",1893,Chatham,,329 Abercorn Street,"Savannah, GA   31401",,,,912-233-1828  /  info@andrewlowhouse.com,"Mon. - Sat., 10 am - 4 pm;  Sun., Noon - 4 pm; Closed first 2 weeks Jan. and some major holidays",Historic house featuring the story of Andrew Low and his family ca. 1848. The Andrew Low House is a registered national historic landmark. The house was also the home of Juliette Gordon Low following her marriage to William Mackey Low in 1886.,The Andrew Low House exhibits the decorative and fine arts collections of The National Society of The Colonial Dames of America in the State of Georgia. The collection features American neo-classical furnishings from 1790 - 1860.,http://www.andrewlowhouse.com/,https://www.facebook.com/andrewlowhouse/,2019-Mar-05
118,Ansley Park Civic Association,Society/Association,1915,Fulton,,P. O. Box 77125,"Atlanta, GA   30357",,,,,By appointment.,"Preservation of historic buildings in Ansley Park; publications, spring and fall festivals, and biennial tour of homes.","1911 map of Ansley Park, photographs, memorabilia, and the book, Historic Living in Ansley Park.",http://www.ansleypark.org,,2019-Mar-05
119,Apex Museum,Museum,1978,Fulton,,"135 Auburn Avenue, N.E.","Atlanta, GA   30303",,,,404-521-2739  /  info@apexmuseum.org,"Tues. - Sat., 10am -5pm","Promotion of cultural events, Black music month, art displays, historic reenactments such as the Underground Railway Trek in Atlanta, and tributes to the accomplishments of African Americans such as Dr. Benjamin Mays and Marcus Garvey; history of Sweet Auburn Ave.; youth programs",West African art and African American art collections.,http://www.apexmuseum.org/,https://www.facebook.com/APEXMuseum/,2019-Mar-05
120,Appling County Heritage Center,Historical Society,1993,Appling,209 Thomas Street,P.O. Box 87,"Baxley, GA   31513",,,,912-367-8133  /  acheritagecenter@bellsouth.net,"Tues., Thurs., & Fri., Noon - 4:30 pm; Sat., 9 am - 1:30 pm","Lectures, films, and publications on the history of Appling County, oral history interviews, African American history, military history and genealogy.  Special events quarterly.  Monthly meetings open to the public.  Sponsors 8th grade essay contests on local history.","City and county records, letters, papers, maps, photographs, microfilm, family histories, census records, oral  histories, and tape recordings.  Exhibits include tools and artifacts from turpentine and farming industry, household items, clothing, and much more from the past.  One room is dedicated to artifacts from the Civil War through Desert Storm.",http://candlersonsofconfederacy.homestead.com/applingcountygaheritagecenterinbaxley.html,,2019-Mar-05
121,Archibald Smith Plantation Home,"Historic Site (Parks, etc.), Museum",1845,Fulton,,935 Alpharetta Street,"Roswell, GA   30075",,,,770-641-3978  /  cdouglas@roswellgov.com,"Hourly tours daily; Mon. - Sat., 10 am - 3 pm; Sun., 1 pm - 3 pm","Preservation of the Archibald Smith Plantation Home and 12 outbuildings, educational programs, and tours. Programs for Black History Month Roswell Roots; May Hertiage (Mother's Day open house); Camp Yesteryear for Children in Summer, Fall events: Fall Farm Days and Harvest Moon Dinner Dance; Christmas events: Gingerbread Christmas for children, joint candlelight tour with Bulloch & Barrington Halls.","Main building, Plantation Home, and 10 outbuildings dating to 1845, including a well, springhouse, kitchen, corn-crib; articles of Smith family clothing from 1850's; 14,000 historic artifacts belonging to the city of Roswell (as of April 2004), have been bought from the Smith family heirs (3 generations' worth).",https://www.roswellgov.com/discover-us/southern-trilogy-historic-house-museums/smith-plantation,,2019-Mar-05
122,Archives Research Center,Academic Library (Archives or Special Collections),1982,Fulton,,"111 James P. Brawley Drive, SW","Atlanta, GA   30314",,,,404-978-2052  /  archives@auctr.edu,"By appointment only (24 hrs. advance notice); Mon. - Thurs., 1 pm - 7 pm; Fri., 1 pm -5 pm; Sat., Noon - 5 pm","Acquisition, preservation and research use of historical materials pertaining to 19th and 20th century African-American life and culture; exhibits, tours, and educational activities.","Manuscripts, organizational records, books, periodicals, prints and photographs documenting the experiences and contributions of African Americans particularly in the Southeastern United States, emphasizing the areas of education, literature, religion, politics, social work, civil rights, and race relations.  Also historical documentation about the Atlanta University Center institutions – Clark Atlanta University, Interdenominational Theological Center, Morehouse College, and Spelman College.",https://www.auctr.edu/archives/,https://www.facebook.com/aucwoodrufflib,2019-Mar-05
123,Army Reserve Office of History,"Government Agency (Federal, State, Local)",1992,Fulton,,"U.S. Army Reserve Command, Attn:  AFRC-PRR","1401 Deshler, SW","Atlanta, GA   30330",,,404-464-8463  /  deborah.fosterking@usar.army.mil,"M-F, 9-4.","Records the official history of the Army Reserve and the federal citizen solider, advises Army staff officers on relevant historical matters, maintains essential information files, promotes the study of history as a part of reserve training, oral history program, collects, preserves, and displays military artifacts, conducts tours, and plans special events.  Publishes Army Reserve history in printed media and video media.","Permanent historical research collection of correspondence, reports, photographs, maps, graphics, audio and video tapes, books, oral history transcripts, and machine readable data, documenting the history of America's citizen soldier from 1783 to the present..",http://www.usar.army.mil/About-Us/History-Corner/,,
124,Arts and Heritage Council of Pelham,"Museum, Society/Association",1978,Mitchell,,"4152 Railroad St., South",P. O. Box 389,"Pelham, GA   31779",,,229-294-8628  /  miriampowell@att.net,Open for special events and by appointment.,"Exhibits, oral history interviews, and publications related to the history of Pelham, historic preservation, tour of homes, and festivals and celebrations such as the Wildlife Festival.","City, county, business, architectural, and club records, maps, photographs, and newspaper clippings, household textiles and accessories, tools, and clothing.",,,
125,Ashantilly Center,"Historic Site (Parks, etc.)",1994,McIntosh,15591 GA Hwy 99,P. O. Box 1449,"Darien, GA   31305",,,,912-437-4473  /  ashantillycenter@gmail.com,Call or email to arrange a tour; Visit website for information on events.,"The Ashantilly Center, known as “Old Tabby”, is the site of the mainland home of Thomas Spalding, early Georgia planter and legislator. Today, the Ashantilly Center is a non-profit educational & cultural historic site, organized and founded by William G. Haynes, Jr., an artist, small letterpress printer and environmentalist. His legacy, the Center, hosts cultural and historic events and workshops to fulfill it’s mission to provide a vehicle for continuing education.","An extensive library of art, architecture, printing, southern history, horticulture, and examples of fine letterpress is available for on site use by appointment. The Ashantilly Press was an award-winning press owned and operated by William G. Haynes, Jr. who died in 2001. His presses and examples of his work are also housed on the site. Inqurie about letterpress workshops and classes.",https://ashantillycenter.org/,,2019-Mar-05
126,Ashburn Historic Preservation Commission,Society/Association,1982,Turner,,121 East Madison Avenue,P. O. Box 766,"Ashburn, GA   31714",,,229-567-3431  /  gmwwilson@yahoo.com,n/a,Restoration and preservation of historic buildings including the old Turner County Jail for use as a museum.  Stabilization of Wesleyan Methodist Tabernacle and Adjacent Buildings. Entered into the National Register December 1998.  Crime and Punishment Museum and Last Meal Caf opened 8/27/03 in the 1906 restored Turner County Jail.,"Have a collection of confiscated weapons, ball and chain and some furniture original to the jail.",,,
127,Association of Southeastern Research Libraries (ASERL),Society/Association,,DeKalb,,"540 Asbury Circle, Suite 316",#200,"Atlanta, GA   30322",,404-727-0137,,None Specified.,,,http://www.aserl.org/,https://www.facebook.com/aserl/,2019-Mar-06
130,Athens Technical College Library,Academic Library (Archives or Special Collections),1958,Clarke,,800 U S Hwy 29 N,"Athens, GA   30601",,,,706-355-5020  /  alibrary@athenstech.edu,M-Thurs: 7:30 a.m.-10:00 p.m. ;F: 7:30 a.m.-4:30p.m.;,,,http://library.athenstech.edu/,,2018-Nov-20
131,"Athens-Clarke Heritage Foundation, Inc.",Historical Society,1967,Clarke,,Old Fire Hall No. 2,489 Prince Avenue,"Athens, GA   30601",,,706-353-1801  /  athensclarkeheritage@gmail.com,Visit website for program information,"The Athens-Clarke Heritage Foundation is a private, nonprofit, membership organization which promotes community-wide understanding of the value of historic preservation and advocates for the preservation of our history and our historic buildings and neighborhoods. ACHF administers the Athens Welcome Center and Church-Waddel-Brumby House Museum, c. 1820; administers Classic City Tours, a tour service geared toward heritage tourism; and sponsors various educational programs and events.","Various exhibitions and shows are presented throughout the year in Fire Hall No. 2, headquarters of the Foundation. ACHF houses a variety of materials related to the history of local buildings as well as technical resources on historic preservatoin.",http://achfonline.org/,https://www.facebook.com/athensclarkeheritage,2019-Mar-06
132,Atlanta Cyclorama & Civil War Museum,Museum,1898,Fulton,,130 West Paces Ferry Road NW,"Atlanta, GA   30305",,,404-814-4000,,"Mon. – Sat., 10 am – 5:30 pm; Sun., Noon – 5:30 pm","Through exhibitions, rare artifacts, historic images, immersive technology, digital resources, videos, and museum theatre, visitors are encouraged to look critically at a range of Civil War imagery and consider how images and entertainment can shape how we see history. Using historical evidence, Atlanta History Center highlights the painting through a variety of lenses and experiences designed to offer a 360-degree perspective of our shared history through Atlanta’s largest painting.","Historic building, paintings, civil War uniforms, weapons, and railroad locomotive.",http://www.atlantahistorycenter.com/explore/destinations/atlanta-cyclorama,,2019-Mar-06
133,Central Library - Special Collections,"Library (Public, Research, Special, etc.)",,Fulton,,One Margaret Mitchell Square,"Atlanta, GA   30303",,,,404-730-1896  /  Special.Collections@fultoncountyga.org,Facility Currently Under Renovation,"The Genealogy Collection is one of two separate collections within the Special Collections Department. The Department also contains the Georgia History Collection, materials on the history and culture of Atlanta, Georgia and the Southeast, including the Margaret Mitchell Exhibit.","The Genealogy Collection contains sources whose emphasis is on Georgia. However some sources contain information on North Carolina, South Carolina, and other states throughout the U. S. Our collection includes county histories, family histories, deeds, military rosters, limited indexes to wills, newspapers and Atlanta city directories.  Census records for Georgia available from 1820 to 1880 and 1900 to 1930 on microfilm. We do not hold vital records such as birth and death certificates",http://www.afpls.org/special-collections-m#Genealogy,https://www.facebook.com/fulcolibrary/,2019-Aug-08
134,Atlanta Metropolitan College Library,Academic Library (Archives or Special Collections),,Fulton,,1630 Metropolitan Pkwy SW,"Atlanta, GA   30310",,,,404-756-4010  /  library@atlm.edu,Mon-Thu 8-10; Fri 8-6; Sat 9-6; Sun 2-6,,,http://www.atlm.edu/academics/library.aspx,,2018-Nov-20
135,"Atlanta Opera, The",Other,1979,Fulton,,"1575 Northside Dr., NW","Bldg. 300, Ste. 350","Atlanta, GA   30318",,,404-881-8801  /  info@atlantaopera.org,05-Sep,"The Atlanta Opera strives to present opera productions of the highest standards possible, while fostering education about the art form and encouraging its growth with services and programs designed to fill the needs of the community.","Media clippings from the 1940's pertaining to opera as an art form in Atlanta, publications of The Atlanta Opera, performance programs, season programs of The Metropolitan Opera in Atlanta dating from the 1960's, scrapbooks, photographs and slides of various performances and fund-raising events, selected departmental and Board of Directors files, support group activities, posters, CDs, and oral histories.",http://www.atlantaopera.org,,
136,Atlanta Preservation Center,"Historical Society, Society/Association",1979,Fulton,,327 St. Paul Ave. SE,"Atlanta, GA   30312",,,,404-688-3353  /  info@PreserveAtlanta.com,Visit website for information on tours.,"Promotion of the preservation and restoration of Atlanta's architecturally, historically and culturally significant buildings, neighborhoods and landscapes through education and advocacy.",,http://www.atlantapreservationcenter.com/index,https://www.facebook.com/AtlantaPreservationCenter,2019-Aug-17
137,Atlanta Regional Council for Higher Education (ARCHE),Society/Association,1938,DeKalb,342 South McDonough Street,342 South McDonough Street,"141 E. College Ave., Box 1084","Decatur, GA   30030",,,404-651-2668  /  arche@atlantahighered.org,Visit website for more information.,"Building awareness of the scope, impact and value of higher education in the region.",,http://www.atlantahighered.org,,2019-Aug-17
138,Robert W. Woodruff Library - Department of Theological Services,"Academic Library (Archives or Special Collections), Library (Public, Research, Special, etc.)",1982,Fulton,,Department of Theological Services,"111 James P. Brawley Drive, SW","Atlanta, GA   30314",,,404-978-2012  /  jtroutman@auctr.edu,"M-F, 9-:30-4:45. By appointment only.","Acquisition, preservation, and promotion of the use of records pertaining to the history of the Black Church and its African and Afro-Caribbean roots and connections.","Archival material of the constituent denominations comprising the Interdenominational Theological Center.  Members:  Gammon Theological Seminary (United Methodist), Charles H. Mason Theological Seminary (Chruch of God in Christ), Phillips School of Theology (Christian Methodist Episcopal), Morehouse School of Religion (Baptist), Johnson C. Smith Theological Seminary (Presbyterian Church, USA), Turner Theological Seminary (African Methodist Episcopal).",http://www.auctr.edu,,2018-Dec-26
139,Atlanta Urban Design Commission - Historic Preservation,"Government Agency (Federal, State, Local)",1975,Fulton,,55 Trinity Avenue SW,Suite 3350,"Atlanta, GA   30303",,,404-330-6145  /  dyoung@atlantaga.gov,Mon. - Fri. 8:15 am - 5:00 pm,"Nomination of buildings, sites, and districts within the city of Atlanta for designation and regulation under Atlanta's Historic Preservation Ordinance.",Information on city buildings and neighborhoods.,https://www.atlantaga.gov/government/departments/planning-community-development/office-of-zoning-development/urban-design-commission,,2019-Oct-03
140,Auburn Avenue Research Library on African American Culture and History,"Library (Public, Research, Special, etc.)",1994,Fulton,,101 Auburn Avenue N.E.,"Atlanta, GA   30303",,,404-730-4001,,Mon. & Fri. Noon - 6 pm; Tues. & Sat. 10 am - 6 pm; Wed. & Thurs. Noon - 8 pm; Sun. 2 pm - 6 pm,"Acquisition and preservation of materials relating to African-American  culture and history, tours, lectures, and family and community programs.","Documents and manuscripts, rare books and periodicals, photographs, prints, oral histories, audio and visual materials, and related materials.",http://www.afpls.org/aarl,https://www.facebook.com/AuburnAvenueResearchLibrary/,2019-Aug-08
141,Augusta Genealogical Society,"Genealogical Society, Library (Public, Research, Special, etc.)",1979,Richmond,,P. O. Box 3743,"Augusta, GA   30914",,,,706-722-4073  /  augustagensociety@comcast.net,Mon. & Weds. 10 am - 4 pm; Sat. 9 am - 1 pm; Sun. 2 pm - 5 pm,"Acquisition, preservation, and promotion of the use of genealogical and related historical, biographical, and heraldic data; lectures, workshops, field trips, educational activities, newsletter, numbered journal, and other publications, and a library of some 15,000 volumes, including periodical runs.  Sponsors four seminars a year, with an annual Homecoming in August which features nationally known lecturers.  Broad-based educational programs throughout the year.  Repository for old county court loose papers (from 1700s and 1800s); currently involved in cleaning, sorting, and preparing them for microfilming and ultimate access to researchers.","Land, marriage, birth, death, and military records, Bible records and  family histories, letters, papers, diaries, journals, city, county, and church records, maps, and tape recordings.  Microfiche, court records, personal collections filed and indexed members' ancestor charts, microfilms, several multi-volume sets of Civil War records.",http://augustagensociety.org,,
142,Augusta Museum of History,"Museum, Historic Site (Parks, etc.)",1937,Richmond,,560 Reynolds Street,"Augusta, GA   30901",,,,706-722-8454  /  amh@augustamuseum.org,Thurs. - Sat. 10 am - 5 pm;  Sun. 1 - 5 pm,"The Augusta Museum of History features permanent and temporary exhibitions interpreting the history of the CSRA, such as an exhibition on 12,000 years of the regions history, as well as exhibits on James Brown, celebrating the history of golf, military, and local legends in literature, sports, entertainment, other people of note. Programs include family programs, lecture series, guided and self-guided tours, educational activities, films, special events, and much more!","The Museum serves as the steward of the material history of the Central Savannah River Region which includes four counties in Georgia: Columbia, Burke, McDuffie, and Richmond; and two counties in South Carolina: Aiken and Edgefield. The facility features two floors of exhibition galleries and the collection includes over one million artifacts, photographs, documents, maps, and rare books. From a 1914 steam engine to a 10,000 year old projectile point, the collection is vast and comprehensive in representing the material history of the CRSA.",http://www.augustamuseum.org,,
143,"Augusta Richmond County Historical Society, The",Historical Society,,Richmond,,"Reese Library, Augusta State University",2500 Walton Way,"Augusta, GA   30904",,706-737-1532,,Visit website for events calendar.,"For more than 70 years, the Augusta Richmond County Historical Society (ARCHS) has collected, preserved and told Augusta’s story. We collect it through projects as the Veterans History Project, in which we have completed video interviews with over 800 local veterans.  We preserve it through Special Collections in the Reese Library at Augusta University. We tell it through Augusta Richmond County History, the journal, our published books, and public presentations and lectures on local history.","Special Collections in the Reese Library at Augusta University maintains 4,900 book titles and over 400 manuscripts as well as historical photographs, vertical files and other historical materials.",http://www.thearchs.org/page0006.html,,2019-Aug-17
144,Augusta Public Library - Georgia Heritage Room,"Library (Public, Research, Special, etc.)",,Richmond,,823 Telfair Street,"Augusta, GA   30901",,,,706-826-1511  /  genealogy@arcpls.org,Mon. - Sat. 9 am - 5 pm,"The Georgia Heritage Room is a resource center for historical and genealogical study, located on the third floor of the Augusta-Richmond County Public Library. The Heritage Room hosts monthly programming and exhibits on topics related to local, state, and regional history as well as beginner and intermediate genealogy classes.","The repository houses an extensive collection of local, county, and Georgia history resources, as well as genealogy materials, including print resources and microfilm. The library subscribes to a variety of online databases for historical and genealogical research, such as Ancestry Library Edition, Heritage Quest and Digital Library of Georgia.  The collection also holds materials from some surrounding states including South Carolina, North Carolina, and Virginia.",http://arcpls.org/georgia-heritage-room/about-the-georgia-heritage-room/,https://www.facebook.com/Augusta-Genealogy-Local-History-170929342943198/,2019-Aug-08
145,Austell City Museum,Museum,,Cobb,,2716 Broad Street,"Austell, GA   30001",,,770-944-4309,,Mon. - Fri. 9 am - 5 pm;  Sat. & Sun. By appointment only,"Acquisition and preservation of records and artifacts relating to the history of the city of Austell and south Cobb county, educational programs, and publications including the reprinting of early city histories.","Museum in the Community Center includes official city records, voter registration records, photographs, artifacts, and church, local, and county histories.",http://www.austellga.gov/index.asp?SEC=6197A5E5-7A2D-4DD9-AC6D-32FAC92C84A2&Type=B_BASIC,,
146,Austell Historical Preservation Society,Historical Society,1985,Cobb,,Austell City Hall,2716 Broad Street,"Austell, GA   30001",,770-948-4909,,None Specified.,"Acquisition and preservation of records and artifacts pertaining to the history of Cobb County; films, slide shows, oral history interviews, newsletter, celebrations, and restoration and preservation of historic buildings.",,,,
147,Autrey Mill Nature and Heritage Preserve,"Historic Site (Parks, etc.)",1989,Fulton,,9770 Autrey Mill Road,"Johns Creek, GA   30022",,,,678-366-3511  /  info@autreymill.org,Nature Preserve Grounds: 8 am - DUSK; Visitor Center: Tues.  Sat. 10 am - 4 pm; Sun. Noon - 4 pm,"Mission Statement: To create a destination and educational resource that inspires exploration, appreciation, and preservation of the natural environment and local history.",,http://www.autreymill.org,,
148,Baldwin Library,"Museum, Historic Site (Parks, etc.)",,Tift,,ABAC 5,2802 Moore Highway,"Tifton, GA   31793",,,229-391-4993  /  abacinfo@abac.edu,"M-Thu 7:30 a-10:00 p ,Fri 7:30a-3:00p, Sat 2:00 p-5:00p, Sun 5:00p- 10:00 p",Possesses multiple volumes on the History of Georgia and ABAC. Has a large archival area that is for the most part uncataloged. Works with the Agrirama on exhibits.,Significant collection of rarer books on Georgia History.,http://www.abac.edu/library,,
149,Banks County Historical Society,"Historical Society, Historic Site (Parks, etc.)",,Banks,,P. O. Box 473,"Homer, GA   30547",,,,678-971-9390  /  info@BanksCountyHistoricalSociety.org,See website for meeting dates and times.,A Day of History in Banks County on December 9 includes a walking tour of institutions and homes of historic note; reenactments of a court case and of the 24th Georgia Volunteer Infantry; riding tours of historic Hollingsworth Fort and Ragsdale Mill.,Restored historic Banks County Courthouse.,http://www.bankscountyhistoricalsociety.org/,,
150,Barnesville-Lamar County Historical Society,Historical Society,1973,Lamar,,P. O. Box 805,"Barnesville, GA   30204",,,770-358-0150,,Weds. & Sat. 10 am - 5 pm;  Sun. 2 pm - 5 pm,"Restoration and preservation of historic sites and buildings in Lamar County; placing various Barnesville and Lamar County areas on National Registry; lectures, oral history interviews, guided tours, craft fairs, and annual tour of homes and Buggy Days celebration.","Letters, papers, business records, and 19th century photographs; Barnesville railroad depot, depot furniture, Barnesville buggies, and operates Old Jail Museum  behind the courthouse.",http://www.rootsweb.ancestry.com/~galamar/society.html,,
